,adj_avg_xg1_home,adj_avg_xg2_home,xwin1_home,xdraw_home,xwin2_home,shots1_home,shots2_home,shotsot1_home,shotsot2_home,corners1_home,corners2_home,xpts1_home,xpts2_home,xgshot1_home,convrate1_home,adj_avg_xg1_away,adj_avg_xg2_away,xwin1_away,xdraw_away,xwin2_away,shots1_away,shots2_away,shotsot1_away,shotsot2_away,corners1_away,corners2_away,xpts1_away,xpts2_away,A,H,score1_similar,score2_similar,spi_diff,avg_xg_diff,avg_xg_diff_home,avg_xg_diff_away,score1,score2,upper_home_outlier,lower_home_outlier,upper_away_outlier,lower_away_outlier
3462,0.8791384359348751,1.272271088529073,0.2620044534921368,0.2632372006075067,0.4747411311427109,9.454786620083551,15.560582826469819,2.6986092449050973,4.583097172499569,3.82078186033009,5.263997584006592,1.0492505610839171,1.6874605940356395,0.08581166346969543,0.09675401563022117,2.495972532244572,0.8479665897900776,0.6482502577404308,0.1728032095460831,0.17781098013368593,16.64031905117069,11.343396751402233,6.825544442421822,3.2990461457963938,6.547751395559269,4.1896252480332565,2.1175539827673755,0.7062361499471408,0.77,0.09,0.77,2.39,-39.690000000000005,1.760005946788762,-0.5428199019785028,1.3943499707920757,2.0,2.0,0,0,1,0
3465,1.7797131601659415,0.8994951559297141,0.5719125342532524,0.2057478147671873,0.22195509197372007,10.816372309876444,7.899156755092436,5.4716164504937455,3.1366097380814764,5.559275474778572,5.066287985019255,1.921485417526944,0.8716130906883475,0.17176512304650746,0.2350717465856744,0.9392661158628636,1.2215660255118148,0.3262519643409281,0.25796216357619034,0.4157676430046721,6.99125557191637,9.033960015153127,3.497199338840512,4.610750225752822,4.498763602395352,5.948409103130362,1.2367180565989746,1.5052650925902071,0.12,0.8,2.34,0.65,28.910000000000004,2.7279278866266248,0.6227066419025796,-0.2780667048658093,1.0,1.0,1,0,0,0
3478,1.2748327331719025,1.7934410942979468,0.29520696013287034,0.22637113429891526,0.478317979257612,11.182488385410476,15.125782129835244,3.4675336194192523,5.8028045583855725,4.879832293561355,5.116197452130219,1.1119920146975262,1.661325072071751,0.11423863460657847,0.12057881768686372,2.515357268372828,0.8371371086858747,0.6649727804523677,0.17340327989331242,0.1604233265925258,17.421644427390458,8.667244366531373,6.896535212640232,2.8310858411354567,6.531735496736361,3.0991115119070427,2.168321621250416,0.6546732596708899,0.77,0.06,0.79,2.4,-35.199999999999996,2.1535409804981582,-0.4004730587916432,1.5256728905714083,1.0,3.0,0,0,1,0
3487,1.7291751264205686,0.8040387828474854,0.5604706390280169,0.2136378931017275,0.2258391067351825,10.45451741656522,7.68437220161837,5.466642332421987,3.2484241799969653,6.551305086550545,4.752352347849954,1.8950498101857776,0.891155213307275,0.16991064775517928,0.18388983399185455,2.059931185493192,0.6370504905775148,0.7045480456920954,0.17827672104183628,0.11711976117657495,12.285595604598115,5.5588604597023865,7.199429270700412,2.442964497656868,7.781647936124648,3.4576363062087454,2.2919208581181225,0.5296360045715612,0.3,0.41,1.69,1.38,-5.269999999999996,2.2531988498408677,0.8373132413061671,1.328296271223963,0.0,0.0,0,0,1,1
3488,1.3519735362574012,1.0942587826523409,0.4668887148450666,0.23840408152670786,0.29465416306586395,16.015362143713446,10.897037123120574,5.655265160294873,3.66400159690696,6.556427471601103,4.187013940187334,1.6390702260619074,1.1223665707242998,0.09078050331097977,0.08762363873628767,0.8283861275235554,1.9610857511947168,0.22973495103255534,0.21279384663100573,0.5573385108295118,9.079852678698042,18.55507493550662,2.59822518101613,6.722598032725908,3.6510512062114304,6.419182683148872,0.9019986997286721,1.884809379119541,0.11,0.83,2.42,0.66,32.440000000000005,3.328178612875994,0.2743271834363785,-1.1151413478855008,4.0,1.0,0,0,1,0
3493,2.5914333144904065,0.9514379992530448,0.6308394058325217,0.17701609595514742,0.18795873420041295,15.600108037756407,11.301185760955802,7.513876578154353,3.5940313123633265,5.765619173187303,3.9899244509985454,2.0695343134527127,0.7408922985563865,0.1608486843010806,0.17669325826879367,2.5448830212937343,1.1511220356280103,0.6603121800386851,0.15513307898888284,0.18332389935759216,18.56659663331578,10.93645263842653,7.669611257657491,4.095973914920512,7.284671341418036,3.67302069424725,2.1360696191049384,0.7051047770616593,0.25,0.47,1.64,1.13,0.3100000000000023,3.75787493025487,1.5558291114919642,1.412561508713789,2.0,2.0,1,0,1,0
3538,2.18819788197971,0.5723251183848709,0.7069274330367715,0.1880255497417296,0.10466113903557213,12.237797899500306,5.6244902364683504,6.0891512713727804,2.3233977232315706,6.952896026080418,3.5094130027660624,2.308807848852044,0.5020089668484461,0.1821609861607478,0.22346203698694406,0.924925500393005,1.379244729685386,0.28812656091708305,0.2608584966178992,0.4509644907300929,7.2035780415409505,10.47642625106594,3.4894251576160245,5.373192963485191,4.640480403023567,6.887571777134212,1.1252381793691482,1.6137519688081776,0.06,0.88,2.82,0.49,40.699999999999996,3.4262232110888755,1.5208327019984427,-0.4345994019097209,2.0,1.0,1,1,0,0
3542,2.556734172778436,0.9693841716571552,0.624728053035441,0.17891537562466306,0.19230705364322712,15.414648242954714,11.402107186459745,7.358621525419309,3.529545963371274,5.795154579176479,3.9949935333183615,2.0530995347309857,0.7558365365543445,0.16075270599219546,0.1767703745215381,1.3668834373402527,1.3532124606873572,0.38867354685222977,0.2279295669743736,0.3831009689627696,12.291136546451785,13.083468718823251,4.307302285605027,4.020071163736674,4.8782134587272745,5.716203834008961,1.393950207531063,1.3772324738626829,0.04,0.75,2.72,0.86,19.67,4.025352624793086,1.5039171988924154,-0.13101775235452373,5.0,1.0,1,0,0,0
3543,1.4817221993245435,1.4230996691684688,0.44134566872270004,0.2157294489338792,0.3428426308699895,13.990587842147631,12.453824586426082,4.793015392908035,4.1573355863228265,5.937156101739017,4.799945901527162,1.5397664551019792,1.2442573415438478,0.12163842753881796,0.10343389027639947,2.49435332458727,1.1512943403666314,0.6490738650039224,0.15871068260516938,0.19118646511182472,18.426520946079414,10.78795195304742,7.454525357502263,4.002632478068968,7.225072865272318,3.756389008114085,2.105932277616936,0.7322700779406436,0.58,0.23,1.09,2.08,-17.74000000000001,2.7209415114157784,0.24430786469416166,1.366232207338839,3.0,2.0,0,0,1,0
3546,2.523511614499168,0.7121497848612457,0.7138161025260996,0.16865737147240334,0.11692097554653988,17.572165589859985,6.112416040628399,6.99413600165242,2.304940798187213,7.526479047690907,2.723066534557763,2.3101056790507015,0.519420298112023,0.13837255154138828,0.1674709993228639,1.0448028949627393,1.4114257934258034,0.3191520745687492,0.24936811912062165,0.4314656427716774,10.722358854323057,14.179823446183233,3.2674991115441228,4.571923236754026,4.3827065301340715,5.8911651296470655,1.2068243428268692,1.5437650474356537,0.03,0.85,2.97,0.56,35.459999999999994,3.864984467293608,1.7048163814786994,-0.38640594275903717,3.0,1.0,1,0,0,0
